participant,sd_estimation
s_001,32.184899465792775
s_002,23.893748803485355
s_003,26.98026654072742
s_004,19.461174652126726
s_005,22.797152123182762
s_006,11.621990026407397
s_007,32.97097427931932
s_008,24.538309297675863
s_009,20.551058719510134
s_010,35.270384177096794
s_011,28.15790747948413
s_012,38.59523793558407
s_013,17.259947772268873
s_014,33.429327356921675
s_015,24.706391826842083
s_016,42.07014070728115
s_017,21.701490965943503
s_018,37.710544214152314
s_019,0.0
s_020,36.898779485725974
s_021,28.37316041409659
s_022,34.5467284887493
s_023,35.74020591491576
s_024,34.62553301007631
s_025,37.176332661317296
s_026,32.764613953718914
s_027,22.174824150079672
s_028,31.770206396760365
s_029,34.10658379215096
s_030,34.435799328058565
s_031,13.797447779114488
s_032,27.965785254977842
s_033,6.329136672129363
s_034,31.309465161443626
s_035,27.646546289530097
s_036,31.735289870874123
s_037,20.44221264861058
s_038,22.53399203650896
s_039,33.603587412008885
s_040,24.299721176905763
s_041,23.49618377894404
s_042,0.0
s_043,18.878712803087218
s_044,21.76088766305405
s_045,23.474778324646735
s_046,10.483164557061707
s_047,19.72198067484933
s_048,24.196321136109496
s_049,25.315401739205946
s_050,32.38622783874634
s_051,18.443018395485915
s_052,28.634851320461358
s_053,16.074047405678506
s_054,18.211319938792013
s_055,28.68845018318424
s_056,15.600480761822693
s_057,30.370060581272224
s_058,18.612320603859946
s_059,30.23863422841713
s_060,29.434987315452837
s_061,36.191894961020836
s_062,27.707582805570325
s_063,15.676762088046669
s_064,27.164421530771627
s_065,38.05314266478745
s_066,36.37603029070304
s_067,38.42381413594469
s_068,40.98249891589463
s_069,28.556072477886712
s_070,41.759469116232374
s_071,16.737909328696105
s_072,26.66689311498055
s_073,25.689583689599324
s_074,30.87770993798751
s_075,22.45042848433933
s_076,39.53671931145835
s_077,26.934670023509895
s_078,18.93691854705963
s_079,1.3666578295932033
s_080,29.88016524991652
s_081,21.78734508372008
s_082,25.775753970613994
s_083,26.97126758909041
s_085,33.60501601620323
s_086,18.527691769857373
s_087,20.00434735359988
s_088,18.84548152510419
s_089,27.895638846720587
s_090,22.932636069615924
s_091,19.026868873528162
s_092,16.285440728151784
s_093,33.6690790497449
s_094,0.0
s_095,37.14305970242585
s_096,26.690252250913463
s_097,7.550794180324557
s_098,11.881586655378792
sub_008,22.00408812425305
sub_009,14.935974468823025
sub_015,46.24397728118341
sub_026,44.92376795791101
sub_028,10.736071325826199
sub_032,20.780033267747566
sub_039,37.82065727088989
sub_040,28.24739534745361
sub_042,49.46111721748829
sub_046,34.08781066567397
sub_054,36.45522864627478
sub_072,26.01716466379181
sub_076,30.347235626081787
sub_077,12.594352895950028
sub_080,46.73762720872176
sub_083,28.990128254836748
sub_089,23.275134458429473
sub_094,40.348531178395675
sub_100,22.973964183462773
sub_1003,22.051375419568206
sub_101,32.28352816028927
sub_1010,37.002325622172386
sub_1012,39.541774720565435
sub_1017,37.80671394141018
sub_1020,41.05314983178649
sub_1022,35.44949458972111
sub_1024,32.83686556691641
sub_105,20.16387885755146
sub_107,29.109058754746805
sub_115,8.690139154151591
sub_118,24.933789134018724
sub_120,35.20176162018061
sub_124,37.87125405974788
sub_128,30.091812769708568
sub_140,48.22574857985054
sub_143,20.751636918147174
sub_146,28.801179429112562
sub_1502,26.73487653213319
sub_154,21.787511380924464
sub_1557,13.967288388500332
sub_156,23.19391454579567
sub_1578,28.299115659149972
sub_1603,27.20982062830144
sub_164,38.17115451538029
sub_168,25.652748236075837
sub_173,20.275949556920448
sub_177,3.939355089163519
sub_181,9.1608206466798
sub_184,44.675561519710634
sub_207,46.70653059262698
sub_212,39.7847241458618
sub_213,13.766524462158042
sub_215,22.117603979570244
sub_217,27.092300633633688
sub_219,26.1113812887069
sub_221,34.22548842560197
sub_227,32.70750368189919
sub_230,44.340395264069464
sub_248,27.84962929469352
sub_256,42.597182154882404
sub_257,32.8275853866659
sub_258,28.95273509645017
sub_265,24.041630560342615
sub_266,10.714835150747412
sub_268,34.62320470938278
sub_270,28.5333509494086
sub_284,44.80863189234293
sub_287,36.280209800777136
sub_288,10.85467982365551
sub_289,18.338158126656584
sub_303,34.54455220373426
sub_312,33.54996274215517
sub_324,24.862305012333746
sub_329,28.54411155296003
sub_330,0.7408866603457435
sub_331,26.505818315200237
sub_339,17.301940436180644
sub_345,13.160932524997468
sub_346,26.340163872007953
sub_357,32.139000356503686
sub_367,11.210055482259841
sub_369,29.80932460377681
sub_371,50.1175249224044
sub_385,38.83500494007503
sub_392,25.34915600458776
sub_396,33.12640133803347
sub_401,38.34784404444587
sub_403,27.454369856953996
sub_405,43.10074144424291
sub_406,16.047285895608162
sub_437,35.50678845155938
sub_442,47.709352711835606
sub_448,26.55034152173254
sub_450,
sub_457,23.32713576841132
sub_458,34.639342631912264
sub_462,47.05129303031082
sub_465,47.937721392188976
sub_477,10.101567535123776
sub_480,47.846245699252385
sub_487,6.9151168160567
sub_489,17.051021049795807
sub_490,11.987813476930313
sub_496,0.0
sub_505,31.729381071625173
sub_512,20.28809710293134
sub_515,28.438437175673155
sub_529,13.560514965795589
sub_535,44.75616304415273
sub_537,14.132217685826127
sub_545,10.344402673265702
sub_571,28.33013397829368
sub_572,32.914882541999496
sub_574,36.74094091242676
sub_576,3.3359591107215025
sub_584,28.277993697153125
sub_588,35.01349190504448
sub_589,26.28967145851818
sub_600,25.825324168750576
sub_605,36.45363841406216
sub_609,22.021687268348163
sub_639,37.89710916667501
sub_661,
sub_667,40.9061935000883
sub_672,1.7235394498804262
sub_683,12.649110640673516
sub_690,38.14883134950969
sub_692,24.387571080130257
sub_699,17.17002570203946
sub_706,35.02297382650671
sub_711,23.103173239981857
sub_714,13.959504060789138
sub_716,34.54825625964371
sub_725,49.395402590741675
sub_732,26.167797446258362
sub_736,49.079090688980195
sub_765,46.06684106983944
sub_777,23.809761903571438
sub_778,29.48698379690156
sub_788,38.29875280479981
sub_791,24.41348360677316
sub_792,37.956533201787714
sub_794,33.561500839866184
sub_795,43.42426357080413
sub_798,41.63184051813631
sub_799,25.64299915760833
sub_803,19.464775117008962
sub_807,40.75218694427012
sub_809,31.013786907679922
sub_810,3.214550253664317
sub_813,44.274145954495836
sub_816,22.52473387997373
sub_818,28.406710060663276
sub_822,29.146146151727084
sub_828,35.48828649372733
sub_834,43.021086141726514
sub_840,40.32382808106283
sub_841,49.06226472662896
sub_845,19.815918725121854
sub_853,48.293566015759474
sub_871,32.20425881330427
sub_872,14.116492564332
sub_880,20.928449536456355
sub_882,28.840993569100736
sub_899,28.274534043239665
sub_908,45.256384642138535
sub_914,35.56884672213673
sub_916,21.905098341101628
sub_919,27.752477366894656
sub_920,40.07364761537912
sub_921,36.26057317068591
sub_922,
sub_925,19.496752976415756
sub_926,42.33273681278599
sub_931,31.620668346299492
sub_936,32.30421799084448
sub_938,35.697805721547276
sub_946,47.78372517431423
sub_953,49.35199132374546
sub_954,31.702349456135913
sub_961,9.496963077337286
sub_969,30.63878741265142
sub_981,30.487345913830627
sub_985,
sub_986,40.30683596663258
sub_987,49.57475006649901
sub_990,28.74131447750323
sub_996,35.52403003540997
sub_998,32.20820425066619
